Name,playerId,team,PA,AB,primaryPOS,TB,isQualified,OPS,AVG,OBP,SLG,K%,BB%,Whiff%,SwStr%,FB%,GB%,LD%,SB%,BABIP,OPS_percentile,AVG_percentile,OBP_percentile,SLG_percentile,K%_percentile,BB%_percentile,Whiff%_percentile,SwStr%_percentile,FB%_percentile,GB%_percentile,LD%_percentile,SB%_percentile,BABIP_percentile
Jafet Ojeda,827111,YUC,6,5,2B,4,False,1.467,0.6,0.667,0.8,33.3,16.7,40.0,50.0,0.0,33.3,66.7,,1.0,100.0,100.0,100.0,99.0,88.0,95.0,93.0,64.0,1.0,11.0,100.0,,100.0
Jerar Encarnacion,666464,OAX,107,93,RF,92,False,1.428,0.366,0.439,0.989,24.3,12.1,32.6,44.5,47.1,38.2,13.2,100.0,0.306,100.0,97.0,97.0,100.0,69.0,78.0,80.0,29.0,96.0,20.0,23.0,88.0,40.0
Rogelio Cobos,701812,PUE,6,4,OF,4,False,1.4,0.25,0.4,1.0,50.0,16.7,63.6,47.8,0.0,50.0,50.0,33.3,,100.0,39.0,84.0,100.0,98.0,95.0,100.0,51.0,1.0,68.0,99.0,20.0,
Beder Gutierrez,664583,QRO,41,35,OF,31,False,1.349,0.371,0.463,0.886,17.1,14.6,22.2,45.3,17.9,50.0,25.0,,0.375,99.0,98.0,99.0,100.0,38.0,91.0,35.0,34.0,9.0,68.0,90.0,,80.0
Sandber Pimentel,622698,LEO,30,22,OF,15,False,1.282,0.455,0.6,0.682,13.3,23.3,32.7,40.2,11.1,72.2,11.1,100.0,0.529,99.0,100.0,100.0,98.0,18.0,99.0,80.0,9.0,4.0,97.0,17.0,88.0,99.0
Art Charles,543021,YUC,335,252,1B,187,True,1.199,0.294,0.457,0.742,28.4,22.7,38.6,39.1,41.0,31.7,18.6,,0.32,99.0,68.0,99.0,99.0,79.0,99.0,91.0,5.0,93.0,8.0,58.0,,50.0
Ramón Cabrera,541608,YUC,11,10,C,7,False,1.155,0.4,0.455,0.7,18.2,9.1,18.2,46.8,25.0,37.5,37.5,,0.429,99.0,99.0,98.0,99.0,43.0,52.0,18.0,46.0,33.0,18.0,98.0,,95.0
Moisés Castillo,665940,AGS,25,22,SS,15,False,1.122,0.364,0.44,0.682,24.0,12.0,23.7,38.8,62.5,0.0,31.2,100.0,0.429,98.0,97.0,97.0,98.0,68.0,77.0,43.0,4.0,99.0,1.0,97.0,88.0,95.0
Robinson Canó,429664,MEX,360,327,2B,209,True,1.114,0.431,0.475,0.639,11.4,7.2,16.8,52.6,19.7,49.8,25.6,,0.462,98.0,100.0,99.0,97.0,10.0,36.0,12.0,78.0,15.0,67.0,92.0,,97.0
Yurisbel Gracial,666968,QRO,387,348,IF,233,True,1.107,0.382,0.437,0.67,18.3,9.0,26.7,44.4,30.7,42.1,19.6,100.0,0.426,98.0,99.0,96.0,98.0,44.0,51.0,56.0,28.0,65.0,34.0,66.0,88.0,94.0
